2019-03-22 11:23:47.016 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 15 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 11:24:37.017 [main] INFO  org.reflections.Reflections - Reflections took 157 ms to scan 2 urls, producing 37 keys and 144 values 
2019-03-22 11:24:37.733 [main] INFO  com.geccocrawler.gecco.GeccoEngine - starts.json not found
2019-03-22 11:24:37.780 [Spider-0] INFO  com.geccocrawler.gecco.downloader.Proxys - proxys not load
2019-03-22 11:24:37.905 [main] INFO  org.reflections.Reflections - Reflections took 0 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 11:24:41.730 [main] INFO  com.geccocrawler.gecco.GeccoEngine - close gecco!
2019-03-22 11:24:41.745 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 15 ms to scan 2 urls, producing 37 keys and 144 values 
2019-03-22 11:24:41.745 [GeccoEngine] INFO  com.geccocrawler.gecco.GeccoEngine - starts.json not found
2019-03-22 11:24:41.761 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 0 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 11:25:47.343 [main] INFO  org.reflections.Reflections - Reflections took 484 ms to scan 2 urls, producing 37 keys and 144 values 
2019-03-22 11:25:50.093 [main] INFO  com.geccocrawler.gecco.GeccoEngine - starts.json not found
2019-03-22 11:25:50.187 [Spider-0] INFO  com.geccocrawler.gecco.downloader.Proxys - proxys not load
2019-03-22 11:25:51.046 [main] INFO  org.reflections.Reflections - Reflections took 16 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 11:25:53.027 [main] INFO  com.geccocrawler.gecco.GeccoEngine - close gecco!
2019-03-22 11:26:07.062 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 62 ms to scan 2 urls, producing 37 keys and 144 values 
2019-03-22 11:26:07.109 [GeccoEngine] INFO  com.geccocrawler.gecco.GeccoEngine - starts.json not found
2019-03-22 11:26:07.125 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 0 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 11:28:20.297 [main] INFO  org.reflections.Reflections - Reflections took 110 ms to scan 2 urls, producing 37 keys and 144 values 
2019-03-22 11:28:21.015 [main] INFO  com.geccocrawler.gecco.GeccoEngine - starts.json not found
2019-03-22 11:28:21.062 [Spider-0] INFO  com.geccocrawler.gecco.downloader.Proxys - proxys not load
2019-03-22 11:28:21.187 [main] INFO  org.reflections.Reflections - Reflections took 0 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 11:28:25.370 [main] INFO  com.geccocrawler.gecco.GeccoEngine - close gecco!
2019-03-22 11:28:25.385 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 15 ms to scan 2 urls, producing 37 keys and 144 values 
2019-03-22 11:28:25.385 [GeccoEngine] INFO  com.geccocrawler.gecco.GeccoEngine - starts.json not found
2019-03-22 11:28:25.401 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 16 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 11:28:56.452 [main] INFO  org.reflections.Reflections - Reflections took 172 ms to scan 2 urls, producing 37 keys and 144 values 
2019-03-22 11:28:57.452 [main] INFO  com.geccocrawler.gecco.GeccoEngine - starts.json not found
2019-03-22 11:28:57.499 [Spider-0] INFO  com.geccocrawler.gecco.downloader.Proxys - proxys not load
2019-03-22 11:28:57.609 [main] INFO  org.reflections.Reflections - Reflections took 0 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 11:29:26.817 [main] INFO  com.geccocrawler.gecco.GeccoEngine - close gecco!
2019-03-22 11:29:26.833 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 16 ms to scan 2 urls, producing 37 keys and 144 values 
2019-03-22 11:29:26.833 [GeccoEngine] INFO  com.geccocrawler.gecco.GeccoEngine - starts.json not found
2019-03-22 11:29:26.849 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 16 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 11:58:49.851 [main] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 11:58:50.116 [main] INFO  org.reflections.Reflections - Reflections took 172 ms to scan 1 urls, producing 42 keys and 179 values 
2019-03-22 11:58:50.851 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
